provider_ccn,display_name,facility_name,city,county,state,zip_code,cbsa,rural_urban,type_of_control,total_beds,bed_size_band,snf_nf_mix,source_year,fiscal_year,report_days,report_period_status,latest_valid_rule,total_days,average_daily_census,occupancy_rate,medicare_day_share,medicaid_day_share,other_day_share,net_patient_revenue_per_day,operating_expense_per_day,revenue_expense_spread_per_day,patient_service_margin,total_margin,net_income_per_day,salary_cost_per_day,contract_labor_per_day,contract_labor_ratio,total_labor_cost_per_day,labor_cost_share_of_operating_expense,days_cash_on_hand,current_ratio,valid_core_benchmark,data_quality_flags,data_layer_version
465009,DE MOISY HEALTHCARE LLC — WEST COLUMBIA (465009),DE MOISY HEALTHCARE LLC,WEST COLUMBIA,WEBER,UT,84403,36260,U,11,63,50-99,SNF-dominant,2023,2024,366,plausible,valid_core_plausible_report_period,15819,43.221311475409834,0.6860525631017435,0.07035842973639295,0.5305645110310386,0.3990770592325684,375.36601555091977,403.4253113344712,-28.05929578355142,-0.07475182787224136,-0.07434191968056128,-27.905430178898794,209.9917820342626,6.299702888931033,0.029125986587812708,251.5545862570327,0.6235468603219946,3.286368625705818,1.0324210593113623,TRUE,NA,v0.41
465142,DESERET CARE CENTER — SALT LAKE CITY (465142),DESERET CARE CENTER,SALT LAKE CITY,SALT LAKE,UT,84106,41620,U,4,65,50-99,SNF-dominant,2013,2013,365,plausible,valid_core_plausible_report_period,10823,29.65205479452055,0.4561854583772392,0.052573223690289196,0.8084634574517232,0.13896331885798763,191.47740922110322,231.75884690012012,-40.2814376790169,-0.21037175008203207,-0.21006051072207532,-40.22184237272475,94.25695278573409,NA,NA,109.86279220179247,0.47403925964966276,0.11379302371382348,0.35909360082905534,TRUE,NA,v0.41
465065,DESERET HEALTH AND REHAB — OGDEN (465065),DESERET HEALTH AND REHAB,OGDEN,WEBER,UT,84404,36260,U,4,85,50-99,SNF-dominant,2013,2013,365,plausible,valid_core_plausible_report_period,14461,39.61917808219178,0.46610797743755034,0.078763570984026,0.7410275914528732,0.18020883756310074,228.5455362699675,245.7011963211396,-17.155660051172106,-0.07506451594358482,-0.07483940227479782,-17.104211327017495,108.6297628103174,NA,NA,127.07205587442085,0.5171812664205895,0.08988667594498864,0.48938068622328196,TRUE,NA,v0.41
465055,DESERET HEALTH AND REHAB — SALT LAKE CITY (465055),DESERET HEALTH AND REHAB,SALT LAKE CITY,SALT LAKE,UT,84102,41620,U,4,110,100-149,SNF-dominant,2013,2013,334,plausible,valid_core_plausible_report_period,22364,66.95808383233533,0.6087098530212303,0.09063673761402254,0.6355303165802182,0.27383294580575923,208.55347880522268,242.70403326775175,-34.15055446252907,-0.16374962747288324,-0.1634473176975573,-34.087506707208014,104.89433911643714,NA,NA,120.3448399213021,0.49585018551602456,0.04424343932468077,0.6183032274792003,TRUE,NA,v0.41
465110,DESERET HEALTH AND REHAB — SANDY (465110),DESERET HEALTH AND REHAB,SANDY,SALT LAKE,UT,84102,41620,U,4,108,100-149,SNF-dominant,2013,2013,334,plausible,valid_core_plausible_report_period,21316,63.82035928143713,0.5909292526058993,0.10625820979545882,0.66635391255395,0.2273878776505911,228.28105648339275,245.98386188778383,-17.702805404391086,-0.0775482892759388,-0.07652733568308845,-17.46974103959467,107.6472133608557,NA,NA,124.07975229874273,0.504422328141783,-1.4963584641392442,0.5960324743558137,TRUE,NA,v0.41
465174,FAIRFIELD VILLAGE OF LAYTON — LAYTON (465174),FAIRFIELD VILLAGE OF LAYTON,LAYTON,DAVIS,UT,84041,36260,U,4,40,<50,SNF-dominant,2023,2023,365,plausible,valid_core_plausible_report_period,11542,31.621917808219177,0.7905479452054794,0.692600935713048,NA,0.307399064286952,1331.642956160111,1306.5545832611333,25.088372898977696,0.018840164912764447,0.07936135634092858,105.6809911627101,661.7547218852885,100.63221278807832,0.1319962452284058,793.9531277075031,0.6076693143012919,9.189446954238765,1.4400089976529706,TRUE,NA,v0.41
465128,HILLSIDE REHABILITATION CENTER — SALT LAKE CITY (465128),HILLSIDE REHABILITATION CENTER,SALT LAKE CITY,SALT LAKE,UT,84105,41620,U,2,82,50-99,SNF-dominant,2017,2018,337,plausible,valid_core_plausible_report_period,17581,52.16913946587537,0.636209017876529,0.05699334508844776,0.6145270462431034,0.3284796086684489,288.1757010408964,265.7377282293385,22.437972811557927,0.07786212623240447,0.08581093897324282,24.728627495591834,3.4127751549968717e-4,112.28377225413799,0.9999969605894835,112.2841704112394,0.4225375567083018,76.92355629947762,1.2462184260021192,TRUE,NA,v0.41
465104,HUENEME HEALTHCARE INC. — OREM (465104),HUENEME HEALTHCARE INC.,OREM,UTAH,UT,84097-7707,39340,U,11,114,100-149,SNF-dominant,2023,2024,366,plausible,valid_core_plausible_report_period,26597,72.66939890710383,0.6374508676061739,0.03586870699702974,0.7052675113734632,0.2588637816295071,383.73778997631314,347.8656239425499,35.87216603376322,0.09348093143491934,0.09374273118671907,35.97262849193518,194.65447230890703,0.2642027296311614,0.0013554510853253275,225.68372372824004,0.6487669611341411,4.842521472232172,11.028705089305694,TRUE,NA,v0.41
465108,JORDAN HEALTH ASSOCIATES INC. — WEST JORDAN (465108),JORDAN HEALTH ASSOCIATES INC.,WEST JORDAN,SALT LAKE,UT,84088,41620,U,11,110,100-149,SNF-dominant,2023,2024,366,plausible,valid_core_plausible_report_period,31649,86.47267759562841,0.7861152508693492,0.06297197383803596,0.6141426269392398,0.32288539922272425,424.66896268444503,369.93092988720025,54.738032797244784,0.12889576966310692,0.1291197221976693,54.83313848778793,191.61578564883567,7.0385478214161585,0.03543113154624523,228.28241018673575,0.617094683746352,0.9467966365401133,13.580936540613862,TRUE,NA,v0.41
465171,LEGACY VILLAGE OF TAYLORSVILLE — TAYLORSVILLE (465171),LEGACY VILLAGE OF TAYLORSVILLE,TAYLORSVILLE,SALT LAKE,UT,84118,41620,U,4,40,<50,SNF-dominant,2023,2023,365,plausible,valid_core_plausible_report_period,13229,36.24383561643835,0.906095890410959,0.6391261622193666,NA,0.3608738377806335,627.0370398367223,672.3284450827726,-45.29140524605032,-0.072230829071667,0.10037609072277001,62.939526797187995,340.0789931211732,NA,NA,390.18315821301684,0.5803460511996931,77.38297951043108,4.389830362537114,TRUE,NA,v0.41
465112,LIFE CARE CENTER OF BOUNTIFUL — BOUNTIFUL (465112),LIFE CARE CENTER OF BOUNTIFUL,BOUNTIFUL,DAVIS,UT,84010,36260,U,6,100,100-149,SNF-dominant,2023,2023,365,plausible,valid_core_plausible_report_period,16211,44.413698630136984,0.4441369863013699,0.16945284066374683,0.5123064585775091,0.31824070075874406,331.3407562766023,404.6271050521251,-73.28634877552281,-0.22118120812866005,-0.2105150180633787,-69.75220529270248,199.20313367466534,43.80482388501635,0.18026086192777482,274.42958484979334,0.6782283772473439,0.11685502202179769,0.7331743000002664,TRUE,NA,v0.41
465139,LIFE CARE CENTER OF SALT LAKE CITY — SALT LAKE CITY (465139),LIFE CARE CENTER OF SALT LAKE CITY,SALT LAKE CITY,SALT LAKE,UT,84117,41620,U,6,120,100-149,SNF-dominant,2022,2023,365,plausible,valid_core_plausible_report_period,19570,53.61643835616438,0.44680365296803654,0.22733776188042923,0.21165048543689322,0.5610117526826776,357.41446090955543,390.61507409299946,-33.200613183444034,-0.09289107412988962,-0.09002200411431617,-32.1751660705161,185.9253960143076,44.14905467552376,0.19189029700234778,263.1214103219213,0.6736079270183928,10.599717150094245,1.7846064907366017,TRUE,NA,v0.41
